fips,county,state,metro_area,zhvi_latest,zhvi_1yr_ago,zhvi_5yr_ago,zhvi_1yr_chg_pct,zhvi_5yr_chg_pct
37109,Lincoln County,NC,"Charlotte-Concord-Gastonia, NC-SC",397113.8139087562,387983.8252778235,279040.66011742415,2.3531879516871523,42.31396017399229
29021,Buchanan County,MO,"St. Joseph, MO-KS",186365.58619027055,174241.9942105141,137865.41988026354,6.957904743163734,35.179355600649906
44005,Newport County,RI,"Providence-Warwick, RI-MA",746885.3166840263,713139.6417718506,497860.32479875785,4.731986967984536,50.01904740770975
48361,Orange County,TX,"Beaumont-Port Arthur, TX",182623.4929801228,178997.14297874924,182605.36024201405,2.025926191349381,0.009930014148928912
45075,Orangeburg County,SC,"Orangeburg, SC",151958.24423682518,153638.6634244038,134480.29215423003,-1.0937475959008625,12.996664271483272
55055,Jefferson County,WI,"Watertown-Fort Atkinson, WI",350607.40595272696,333347.8791729769,252157.28244389183,5.17763209490647,39.043141072374745
54107,Wood County,WV,"Parkersburg-Vienna, WV",167716.45371618788,166783.2567856547,131662.6237842424,0.5595267465801523,27.38349646671743
42039,Crawford County,PA,"Meadville, PA",166585.72137648982,155362.54972626388,136299.8847304733,7.223859076721029,22.2200016573054
36015,Chemung County,NY,"Elmira, NY",149016.81038711267,146836.3035326252,115912.49387869264,1.4849916553524523,28.559748307257628
13127,Glynn County,GA,"Brunswick, GA",355986.57513453066,362459.21837066463,258572.355391521,-1.7857576544003884,37.67387259767523
30013,Cascade County,MT,"Great Falls, MT",330567.77102336846,316681.0941888644,211322.04785201445,4.385066582541941,56.428434412513326
42063,Indiana County,PA,"Indiana, PA",154800.8243005794,151449.03020529705,125489.07802761476,2.213149922940305,23.358005918662016
26111,Midland County,MI,"Midland, MI",233815.06544471267,221173.73212657505,169091.25930832524,5.715567213426209,38.27744047867574
28081,Lee County,MS,"Tupelo, MS",199334.1513974704,188578.20972657087,147495.2745284485,5.703703352839717,35.14612724696029
18067,Howard County,IN,"Kokomo, IN",185330.2009696136,175176.06649529026,125582.4197111968,5.79653070049746,47.57654884801503
51165,Rockingham County,VA,"Harrisonburg, VA",350468.3847820868,341498.9074838404,257493.21443340284,2.6265024870308906,36.10781377414929
22097,Saint Landry Parish,LA,"Opelousas, LA",130722.70683814822,144023.88270421245,159868.1753571177,-9.235395974833827,-18.230938367729266
12087,Monroe County,FL,"Key West, FL",936766.12069113,969380.500174982,660679.8777291662,-3.3644559053916168,41.78820216394428
13013,Barrow County,GA,"Atlanta-Sandy Springs-Alpharetta, GA",347682.75875212735,347108.97571144154,234043.4273525878,0.16530342942293608,48.55480569780806
