fips,walkability_score
19167,7.014
19169,7.56
19171,6.033
19173,5.087
19175,6.496
19177,4.675
19179,6.832
19181,6.621
19183,6.756
19185,5.571
19187,10.467
19189,6.662
19191,6.011
19193,11.929
19195,5.125
19197,6.634
20001,7.035
20003,6.673
20005,6.235
20007,6.405
20009,7.755
20011,6.364
20013,6.736
20015,6.363
20017,5.875
20019,5.145
20021,5.714
20023,6.617
20025,6.148
20027,5.703
20029,6.894
20031,5.769
20033,6.843
20035,6.644
20037,7.28
20039,5.714
20041,6.437
20043,4.95
20045,8.666
20047,6.139
20049,5.605
20051,8.335
20053,6.943
20055,7.848
20057,7.393
20059,6.389
20061,6.157
20063,5.597
20065,6.203
20067,6.777
20069,5.848
20071,6.627
20073,6.093
20075,5.912
20077,6.861
20079,7.019
20081,6.201
20083,7.0
20085,5.1
20087,5.469
20089,5.051
20091,10.281
20093,6.848
20095,5.127
20097,5.668
20099,6.864
20101,5.622
20103,6.232
20105,5.347
20107,5.681
20109,6.942
20111,7.38
20113,6.631
20115,5.747
20117,6.868
20119,6.359
20121,6.149
20123,7.56
20125,6.562
20127,5.148
20129,6.709
20131,5.986
20133,6.867
20135,6.383
20137,7.876
20139,5.195
20141,7.167
20143,5.297
20145,6.529
20147,6.336
20149,5.813
20151,7.104
20153,5.677
20155,7.131
20157,5.778
20159,6.739
20161,7.81
20163,7.57
20165,5.798
20167,6.656
20169,11.713
20171,6.749
20173,10.164
20175,7.887
20177,10.15
20179,5.281
20181,7.567
20183,6.529
20185,6.467
20187,8.925
20189,7.169
20191,5.899
20193,7.264
20195,6.673
20197,4.547
20199,6.637
20201,6.295
20203,7.124
20205,6.18
20207,6.229
20209,10.49
21001,4.92
21003,4.533
21005,5.45
21007,4.622
21009,5.271
21011,3.837
21013,5.216
21015,7.794
21017,5.785
21019,7.116
21021,7.262
21023,4.482
21025,3.606
21027,4.337
21029,5.716
21031,3.924
21033,5.467
21035,6.104
21037,10.742
21039,5.035
21041,5.443
21043,5.09
21045,3.739
21047,6.394
21049,6.199
21051,3.929
21053,5.079
21055,4.123
21057,4.25
21059,6.876
21061,3.75
21063,3.497
21065,4.739
21067,11.082
21069,4.292
21071,4.666
21073,6.734
21075,7.462
21077,5.109
21079,4.181
21081,4.995
21083,4.951
21085,4.797
21087,3.803
21089,6.296
21091,4.382
21093,6.259
21095,4.256
21097,4.767
21099,3.946
21101,6.17
21103,5.0
21105,4.701
21107,5.229
21109,3.871
21111,11.306
21113,7.944
21115,4.669
21117,9.916
21119,3.578
21121,5.311
21123,4.512
21125,5.606
21127,4.947
21129,5.019
21131,3.287
21133,4.13
21135,3.82
21137,4.357
21139,3.881
21141,4.983
21143,5.809
21145,6.82
21147,4.273
21149,5.016
21151,6.354
21153,3.89
21155,4.96
21157,5.186
21159,5.525
21161,5.717
21163,5.05
21165,4.14
21167,4.61
21169,4.05
21171,4.712
21173,5.423
21175,4.641
21177,4.733
21179,5.304
21181,4.145
21183,4.316
21185,6.075
21187,3.677
21189,3.3
21191,4.551
21193,5.635
21195,4.213
21197,4.743
21199,5.712
21201,4.5
21203,4.719
21205,6.281
21207,5.43
21209,7.239
21211,5.625
21213,5.945
21215,4.897
21217,5.837
21219,4.556
21221,4.997
21223,4.676
21225,5.803
21227,6.652
21229,4.191
21231,4.73
21233,4.619
21235,5.067
21237,4.396
21239,5.704
22001,6.2
22003,4.797
22005,6.442
22007,4.021
22009,5.031
22011,4.49
22013,4.676
22015,5.839
22017,6.645
22019,6.769
22021,4.508
22023,3.53
22025,5.114
22027,4.989
22029,5.869
22031,5.218
22033,7.089
22035,6.278
22037,4.415
22039,5.393
22041,4.633
22043,4.465
22045,6.382
22047,5.341
22049,4.907
22051,9.258
22053,5.653
22055,7.749
22057,5.782
22059,5.969
22061,6.127
22063,5.372
22065,7.142
22067,5.234
22069,5.624
22071,13.708
22073,6.536
22075,6.364
22077,4.758
22079,6.403
22081,5.081
22083,5.255
22085,4.152
22087,7.503
22089,6.259
22091,3.857
22093,5.421
22095,7.06
22097,6.097
22099,5.379
22101,7.006
22103,7.053
22105,5.925
22107,4.948
22109,6.426
22111,4.587
22113,5.856
22115,4.48
22117,5.141
22119,5.667
22121,5.796
22123,3.853
22125,3.968
22127,4.664
23001,7.144
23003,5.704
23005,9.592
23007,5.597
23009,6.255
23011,6.625
23013,6.985
23015,6.423
23017,5.824
23019,6.34
23021,5.328
23023,6.505
23025,5.837
23027,5.628
23029,5.817
23031,6.777
24001,10.134
24003,9.304
24005,10.694
24009,6.035
24011,5.95
24013,6.609
24015,7.121
24017,6.313
24019,5.615
24021,8.98
24023,5.809
24025,8.793
24027,10.309
24029,6.371
24031,12.605
24033,10.997
24035,6.341
24037,6.172
24039,5.345
24041,7.098
24043,6.682
24045,6.997
24047,7.477
24510,14.195
25001,8.71
25003,9.215
25005,10.683
25007,11.845
25009,11.774
25011,7.651
25013,10.902
25015,9.313
25017,12.002
25019,13.903
25021,11.295
25023,8.923
25025,15.041
25027,9.258
26001,4.401
26003,6.194
26005,5.45
26007,6.175
26009,5.55
26011,4.705
26013,6.201
26015,5.057
26017,7.324
26019,6.134
26021,6.465
26023,5.426
26025,6.126
26027,4.754
26029,6.124
26031,5.504
26033,6.123
26035,5.309
26037,6.191
26039,5.839
26041,6.786
26043,7.113
26045,6.723
26047,6.417
26049,8.286
26051,4.45
26053,6.611
26055,7.643
26057,5.46
26059,4.844
26061,6.941
26063,5.798
26065,10.839
26067,4.943
26069,5.986
26071,6.071
26073,6.635
26075,5.729
26077,6.659
26079,5.006
26081,9.74
26083,5.581
26085,4.507
26087,4.834
26089,5.764
26091,6.027
26093,5.948
26095,6.704
26097,6.408
26099,7.675
26101,6.1
26103,7.039
26105,6.172
26107,6.282
26109,6.244
26111,5.871
26113,5.261
26115,5.69
26117,5.187
26119,4.597
26121,6.465
26123,5.081
26125,7.732
26127,5.236
26129,5.144
26131,5.618
26133,4.695
26135,4.856
26137,5.751
26139,6.64
26141,5.641
26143,5.845
26145,6.465
26147,5.948
26149,5.248
